time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-08-12T14:25:43.07Z,47.1111668,15.4640163,3474.052,24.19,-45.37,-0.87,243.700,215.045,5.41,298.06437,6.45464,3,6
2018-08-12T14:25:43.20Z,47.1111651,15.4640340,3471.412,24.13,-46.03,-1.74,134.650,109.656,2.37,297.65783,3.26640,3,6
2018-08-12T14:25:43.41Z,47.1111961,15.4640586,3465.275,24.13,-46.22,-2.00,120.877,100.713,1.90,297.57162,2.14944,3,6
2018-08-12T14:25:43.59Z,47.1112271,15.4639271,3464.715,24.37,-46.70,-2.45,95.626,81.269,1.48,297.55793,1.55607,3,6
2018-08-12T14:25:43.77Z,47.1113026,15.4635246,3484.758,24.37,-46.76,-2.73,68.440,56.226,1.25,297.52604,1.38762,3,7
2018-08-12T14:25:43.96Z,47.1113470,15.4631992,3499.844,24.21,-46.92,-2.78,53.481,43.607,1.07,297.29543,1.25038,3,7
2018-08-12T14:25:44.18Z,47.1113770,15.4628756,3511.222,24.19,-47.12,-2.87,41.420,33.330,0.91,297.17519,1.15343,3,7
2018-08-12T14:25:44.39Z,47.1113741,15.4624912,3525.691,23.89,-47.02,-3.05,29.218,24.992,0.81,296.93515,1.00999,3,8
2018-08-12T14:25:44.60Z,47.1114104,15.4623522,3527.966,24.14,-47.14,-2.95,24.535,20.671,0.70,297.11011,0.83534,3,7
2018-08-12T14:25:44.80Z,47.1114484,15.4621862,3531.234,24.35,-47.08,-2.89,19.852,16.976,0.60,297.34816,0.70455,3,8
2018-08-12T14:25:45.00Z,47.1114822,15.4620287,3533.934,24.20,-47.16,-2.78,16.667,14.509,0.56,297.16849,0.73431,3,8
2018-08-12T14:25:45.20Z,47.1115234,15.4619006,3534.413,24.33,-47.00,-2.76,14.286,13.169,0.66,297.36936,0.75906,3,9
2018-08-12T14:25:45.40Z,47.1115610,15.4617767,3534.575,24.33,-47.01,-2.78,12.235,11.696,0.63,297.36847,0.75062,3,9
2018-08-12T14:25:45.59Z,47.1115993,15.4616399,3534.953,24.19,-46.95,-2.74,10.473,10.445,0.61,297.25901,0.73480,3,9
2018-08-12T14:25:45.80Z,47.1116341,15.4615088,3534.948,23.99,-46.85,-2.70,9.107,9.535,0.57,297.11532,0.63563,3,10
2018-08-12T14:25:46.00Z,47.1116755,15.4613811,3535.168,24.24,-47.05,-2.64,8.050,8.701,0.52,297.25423,0.68780,3,10
2018-08-12T14:25:46.20Z,47.1117190,15.4612507,3535.459,24.15,-47.16,-2.52,7.274,8.027,0.48,297.11581,0.75398,3,10
2018-08-12T14:25:46.40Z,47.1117631,15.4611257,3536.393,24.18,-46.57,-2.48,6.704,7.461,0.49,297.44390,0.84779,3,10
2018-08-12T14:25:46.60Z,47.1118104,15.4609945,3537.933,24.15,-47.10,-2.60,6.190,6.963,0.47,297.15199,0.76474,3,10
2018-08-12T14:25:46.80Z,47.1118594,15.4608692,3538.844,24.12,-46.90,-2.54,5.764,6.539,0.46,297.21593,0.75896,3,10
2018-08-12T14:25:47.00Z,47.1119059,15.4607463,3540.197,24.36,-46.74,-2.49,5.450,6.189,0.49,297.52206,0.86895,3,10
2018-08-12T14:25:47.20Z,47.1119528,15.4606225,3541.202,24.09,-46.96,-2.41,5.227,5.936,0.53,297.15823,0.67526,3,10
