time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
2015-09-27T17:09:05.20Z,45.9955823,10.9051787,1427.836,-1.99,4.15,2.05,4.323,5.049,0.55,3,9
2015-09-27T17:09:05.40Z,45.9955777,10.9051905,1426.667,-2.01,3.92,2.99,4.283,4.992,0.50,3,9
2015-09-27T17:09:05.60Z,45.9955732,10.9052035,1424.494,-2.22,4.37,5.11,4.239,4.953,0.43,3,9
2015-09-27T17:09:05.80Z,45.9955687,10.9052160,1422.046,-2.50,4.67,6.94,4.200,4.920,0.41,3,9
2015-09-27T17:09:06.00Z,45.9955636,10.9052277,1419.326,-2.91,4.72,8.58,4.161,4.885,0.42,3,9
2015-09-27T17:09:06.20Z,45.9955589,10.9052391,1416.286,-2.93,4.90,10.07,4.124,4.850,0.45,3,9
2015-09-27T17:09:06.40Z,45.9955552,10.9052491,1412.997,-2.71,4.66,11.63,4.088,4.817,0.48,3,9
2015-09-27T17:09:06.60Z,45.9955515,10.9052577,1409.232,-2.53,4.28,13.57,4.048,4.781,0.55,3,9
2015-09-27T17:09:06.80Z,45.9955478,10.9052667,1405.198,-2.49,4.30,15.33,4.010,4.747,0.59,3,9
2015-09-27T17:09:07.00Z,45.9955441,10.9052757,1400.931,-2.39,4.29,16.99,3.975,4.715,0.62,3,9
2015-09-27T17:09:07.20Z,45.9955407,10.9052850,1396.317,-2.28,4.31,18.77,3.940,4.683,0.66,3,9
2015-09-27T17:09:07.40Z,45.9955374,10.9052956,1391.418,-2.33,4.60,20.43,3.908,4.654,0.69,3,9
2015-09-27T17:09:07.60Z,45.9955344,10.9053055,1386.212,-2.22,4.65,22.04,3.879,4.624,0.72,3,9
2015-09-27T17:09:07.80Z,45.9955316,10.9053164,1380.724,-2.21,4.85,23.64,3.851,4.596,0.75,3,9
2015-09-27T17:09:08.00Z,45.9955274,10.9053309,1374.935,-2.52,5.61,25.20,3.829,4.568,0.74,3,8
2015-09-27T17:09:08.20Z,45.9955229,10.9053451,1368.952,-2.91,5.72,26.70,3.807,4.534,0.76,3,9
2015-09-27T17:09:08.40Z,45.9955175,10.9053587,1362.907,-3.27,5.75,27.83,3.787,4.511,0.82,3,9
2015-09-27T17:09:08.60Z,45.9955094,10.9053762,1356.757,-3.98,6.66,28.76,3.774,4.494,0.84,3,8
2015-09-27T17:09:08.80Z,45.9955008,10.9053933,1350.605,-4.36,6.54,29.43,3.768,4.480,0.89,3,8
2015-09-27T17:09:09.00Z,45.9954921,10.9054135,1344.121,-4.83,7.38,30.26,3.764,4.466,0.90,3,8
2015-09-27T17:09:09.20Z,45.9954818,10.9054383,1337.511,-5.43,8.65,31.10,3.761,4.454,0.84,3,8
2015-09-27T17:09:09.40Z,45.9954748,10.9054639,1330.556,-5.22,9.69,31.98,3.755,4.440,0.82,3,8
2015-09-27T17:09:09.60Z,45.9954704,10.9054898,1323.219,-4.92,10.31,32.89,3.742,4.425,0.79,3,8
2015-09-27T17:09:09.80Z,45.9954656,10.9055181,1315.850,-4.66,11.02,33.70,3.731,4.411,0.76,3,8
2015-09-27T17:09:10.00Z,45.9954604,10.9055485,1308.384,-4.30,11.75,34.44,3.720,4.398,0.73,3,8
2015-09-27T17:09:10.20Z,45.9954547,10.9055808,1300.832,-4.19,12.35,35.14,3.709,4.385,0.70,3,8
2015-09-27T17:09:10.40Z,45.9954507,10.9056145,1293.030,-3.84,12.98,35.91,3.690,4.369,0.65,3,8
2015-09-27T17:09:10.60Z,45.9954454,10.9056510,1285.182,-3.68,13.93,36.61,3.675,4.357,0.62,3,8
2015-09-27T17:09:10.80Z,45.9954389,10.9056889,1277.255,-3.89,14.44,37.23,3.659,4.339,0.58,3,8
2015-09-27T17:09:11.00Z,45.9954316,10.9057289,1269.152,-4.19,15.20,37.80,3.644,4.313,0.53,3,8
2015-09-27T17:09:11.20Z,45.9954239,10.9057713,1260.949,-4.26,16.14,38.39,3.628,4.287,0.49,3,8
2015-09-27T17:09:11.40Z,45.9954161,10.9058156,1252.700,-4.26,16.89,39.00,3.612,4.261,0.40,3,8
2015-09-27T17:09:11.60Z,45.9954077,10.9058614,1244.565,-4.39,17.58,39.31,3.598,4.237,0.37,3,8
2015-09-27T17:09:11.80Z,45.9953988,10.9059089,1236.463,-4.58,18.25,39.51,3.587,4.216,0.38,3,8
2015-09-27T17:09:12.00Z,45.9953895,10.9059582,1228.283,-4.67,18.87,39.76,3.578,4.195,0.39,3,8
2015-09-27T17:09:12.20Z,45.9953808,10.9060095,1220.102,-4.58,19.66,39.93,3.570,4.178,0.39,3,8
2015-09-27T17:09:12.40Z,45.9953723,10.9060629,1211.897,-4.67,20.46,40.10,3.565,4.162,0.41,3,8
2015-09-27T17:09:12.60Z,45.9953631,10.9061178,1203.705,-4.80,20.99,40.22,3.565,4.151,0.42,3,8
2015-09-27T17:09:12.80Z,45.9953533,10.9061746,1195.455,-5.00,21.69,40.40,3.565,4.139,0.43,3,8
2015-09-27T17:09:13.00Z,45.9953441,10.9062331,1187.050,-5.05,22.45,40.70,3.563,4.126,0.43,3,8
2015-09-27T17:09:13.20Z,45.9953345,10.9062932,1178.578,-5.30,23.07,40.99,3.559,4.113,0.42,3,8
2015-09-27T17:09:13.40Z,45.9953242,10.9063552,1170.123,-5.54,23.74,41.21,3.560,4.099,0.42,3,8
2015-09-27T17:09:13.60Z,45.9953139,10.9064192,1161.637,-5.66,24.52,41.43,3.564,4.087,0.43,3,8
2015-09-27T17:09:13.80Z,45.9953042,10.9064846,1153.111,-5.67,25.17,41.63,3.567,4.074,0.42,3,8
2015-09-27T17:09:14.00Z,45.9952936,10.9065523,1144.578,-5.73,25.91,41.82,3.566,4.061,0.42,3,8
2015-09-27T17:09:14.20Z,45.9952846,10.9066212,1135.854,-5.63,26.44,42.17,3.559,4.044,0.41,3,8
2015-09-27T17:09:14.40Z,45.9952758,10.9066920,1126.955,-5.59,27.08,42.63,3.549,4.027,0.41,3,8
2015-09-27T17:09:14.60Z,45.9952678,10.9067640,1117.865,-5.57,27.72,43.13,3.518,4.002,0.38,3,8
2015-09-27T17:09:14.80Z,45.9952589,10.9068373,1108.843,-5.69,28.25,43.50,3.500,3.982,0.37,3,8
2015-09-27T17:09:15.00Z,45.9952481,10.9069119,1099.896,-6.02,28.70,43.69,3.495,3.967,0.38,3,8
2015-09-27T17:09:15.20Z,45.9952374,10.9069886,1090.946,-6.07,29.49,43.89,3.487,3.951,0.39,3,8
